#                     class   radius  theta         sigma1   sigma2    sigma3   sigma4   sigma5
SN1991bg	  1  III     2.21  214.53	   -1.82274 -1.25405  2.32927 -0.29614 -1.70822
SN1991T	          2  IV      2.31  280.47	    0.41972 -2.27191 -0.15796 -1.07779  0.64694
SN1997dt	  3  III     1.16  182.43	   -1.15496 -0.04904 -0.82824 -0.77541  0.52835
SN1998aq	  4  IV      0.96  355.83	    0.96126 -0.07014  0.00158 -1.12395 -0.39967
SN1998bp	  5  II      0.76  133.35	   -0.52207  0.55304  1.19854 -0.32893  1.80270
SN1998de	  6  III     1.52  192.12	   -1.48267 -0.31837  1.94749  2.10701  0.44297
SN1998dh	  7  I       1.38   83.33	    0.16048  1.37175 -0.32390  1.19359 -0.10991
SN1998ec	  8  Zero    0.33  143.09	   -0.26456  0.19873 -1.02778  1.51962 -0.65194
SN1998eg	  9  I       1.25   55.73	    0.70201  1.03018  0.34618 -0.38230 -0.43956
SN1998es	 10  IV      0.78  309.59	    0.49563 -0.59931 -0.26691 -0.40891 -0.86157
SN1998V	         11  Zero    0.62   32.21	    0.52586  0.33128 -0.05399 -0.24062 -1.10653
SN1999aa	 12  IV      1.19  327.14	    0.99893 -0.64514 -0.31026 -0.15829 -0.73372
SN1999ac	 13  I       0.99   60.95	    0.48125  0.86625  0.46076  0.15119 -1.02274
SN1999cc	 14  I       1.02   67.86	    0.38283  0.94092 -0.71142  1.05519  0.89260
SN1999cl	 15  II      2.73  178.91	   -2.72918  0.05201 -2.43622 -0.50893 -0.23464
SN1999dq	 16  IV      0.95  294.66	    0.39755 -0.86608 -0.22107 -0.20711 -0.53821
SN1999ej	 17  Zero    0.20   19.25	    0.18974  0.06626 -0.33475 -0.46655  1.59778
SN1999gd	 18  II      1.15  152.48	   -1.02299  0.53288 -0.30726 -1.34928  0.46196
SN1999gp	 19  IV      1.11  321.67	    0.86747 -0.68577 -0.40707  0.67967 -0.47576
SN2000cf	 20  I       1.41   57.20	    0.76164  1.18204  1.04556 -1.83399 -0.07544
SN2000cx	 21  IV      2.35  295.33	    1.00485 -2.12255 -0.21715  1.13353  1.76569
SN2000dk	 22  I       1.33   82.33	    0.17780  1.32041  0.81927  0.04584  1.39704
SN2000fa	 23  Zero    0.64   42.76	    0.47216  0.43659 -0.54467  1.27253 -1.17814
